Date,A. sp.,A. tamarense,D. acuta,D. acuminata,D. norvegica,Pn. sp.,P. reticulatum,A. spinosum,sst,par,mld,sss,Region
2017-02-20,0,0,0,0,0,0,0,0,5.1037849296223,10.1720824254187,26.1377636302601,33.355825770985,Grimstad
2017-02-27,0,0,0,0,0,60000,0,0,3.93507236784155,10.8721020748741,31.6560459136963,32.7051379463889,Grimstad
2017-03-06,0,0,0,40,0,0,0,0,3.62552104213021,9.67770778379942,43.8476002433083,31.4182789542458,Grimstad
2017-03-13,0,0,0,40,40,40000,0,0,3.78118709000674,11.3340534812526,15.3717371333729,31.25884810361,Grimstad
2017-03-20,0,0,0,280,0,0,0,0,4.71977563337846,17.3155810105173,30.4837139303034,31.6751460162076,Grimstad
2017-03-27,0,0,0,0,0,0,0,0,4.84138930927623,22.4338184758237,14.5323755090887,31.2384726784446,Grimstad
2017-04-03,0,0,0,0,0,0,0,0,5.15955326773904,20.7098965017419,6.40929746627808,30.5588923367587,Grimstad
2017-04-18,0,0,160,200,160,30000,0,0,6.42093170772899,31.9201172778481,13.8837780518965,30.6350458318537,Grimstad
2017-04-24,0,0,0,0,0,30000,0,0,6.39939700473439,32.7947179995085,12.101001739502,31.3807001113892,Grimstad
2017-05-02,0,0,0,120,0,80000,0,0,7.67909275401722,39.2010200199328,8.83026604218916,30.7351537184282,Grimstad
2017-05-08,0,0,0,40,0,710000,0,0,9.01663914593783,47.7316788121274,8.65684418244795,30.4700594815341,Grimstad
2017-05-15,0,0,0,40,0,3760000,160,0,9.53965950012207,35.3937372132352,5.34795598550276,30.374136057767,Grimstad
2017-05-22,0,0,0,0,0,1230000,0,0,10.914953361858,37.0897603737681,6.10407510670749,27.5211722634055,Grimstad
2017-05-29,0,0,0,80,120,7140000,40,0,13.7719020843506,45.7953935974523,2.97554564476013,28.3935963023793,Grimstad
2017-06-06,0,0,0,40,0,530000,0,0,14.0185017152266,42.7448878037302,6.40929746627808,25.9225562702526,Grimstad
2017-06-12,0,0,0,40,0,70000,0,0,13.2065564935858,43.2037447025901,6.40929746627808,27.5284983028065,Grimstad
2017-06-19,0,0,0,0,0,40000,0,0,15.1566423936324,51.8648390418605,6.10407510670749,28.7292465730147,Grimstad
2017-06-26,0,0,40,80,0,750000,0,0,13.5972865711559,52.6086361985458,8.66031269593672,30.6769690080122,Grimstad
2017-07-03,0,0,0,0,0,350000,0,0,14.5741778287021,51.2177646837736,7.8903200192885,29.4732093811035,Grimstad
2017-07-10,0,0,0,80,0,20000,0,0,16.2818564501676,43.4987216296949,6.40929746627808,30.1367892352017,Grimstad
2017-07-24,0,0,0,0,0,150000,0,0,18.0771667307073,41.1448286558453,7.24172215028243,29.6801098910245,Grimstad
2017-07-31,0,0,80,40,0,0,0,0,17.2196873751554,32.7891057064659,9.85345450314608,29.7164410677823,Grimstad
2017-08-07,0,0,40,0,0,1240000,0,0,16.76992633126,33.0392002908807,10.1482715606689,29.1797050129284,Grimstad
2017-08-14,0,0,40,0,0,2600000,0,0,16.9938643195412,35.2853743252001,8.747023452412,29.163275718689,Grimstad
2017-08-21,0,0,0,0,0,1070000,0,0,17.4352831407027,31.3447567663695,9.86039144342596,29.7680816650391,Grimstad
2017-08-27,0,0,0,0,40,40000,0,0,17.8814334869385,33.6177872632679,7.34924366257407,29.5349982868541,Grimstad
2017-09-04,0,0,0,0,0,0,0,0,16.8387363607233,22.6814373041454,12.7738784443248,29.3075235540217,Grimstad
2017-09-11,0,0,80,40,0,0,0,0,16.3713605187156,22.1575012608578,13.3288282047619,29.8846062746915,Grimstad
2017-09-18,0,0,80,120,0,630000,0,0,15.6632652716203,22.1761967006483,30.1993028467352,29.8424509221857,Grimstad
2017-09-25,0,0,0,40,0,90000,0,0,15.1771584424106,14.895727094851,26.7690190401944,31.0085276690396,Grimstad
2017-10-02,0,0,80,80,0,0,0,0,14.929103938016,10.8063021515545,24.1642234108665,30.0341360785744,Grimstad
2017-10-09,0,0,400,120,80,0,0,0,13.2500157789751,14.2101626672243,29.6374163627625,28.9711757139726,Grimstad
2017-10-16,0,0,80,40,0,0,0,0,13.8921696056019,9.06049442793194,54.9465956254439,30.2433012182062,Grimstad
2017-10-23,0,0,0,40,0,0,0,0,12.8120110685175,5.9632772746839,28.7945856614546,31.5762520703402,Grimstad
2017-10-30,0,0,0,0,0,0,0,0,12.4957842826843,6.01708181160375,23.2034661553123,31.6832068183205,Grimstad
2007-03-07,0,0,0,0,0,0,0,0,4.23101306915283,2.99105493939692,17.6292730712891,32.7184744262695,Arendal
2007-03-12,0,0,0,0,0,0,0,0,4.17721210479736,4.20728137203763,14.1833121109009,31.7870933532715,Arendal
2007-03-19,0,0,0,0,0,0,0,0,4.67126686096191,12.6480390762825,12.602260017395,31.5869212341309,Arendal
2007-03-26,0,60,80,0,40,200000,100,0,5.5292772102356,21.880503494164,37.9357196044922,31.7708636474609,Arendal
2007-04-10,20,20,0,0,40,0,20,0,6.49059217453003,36.9953432649669,11.6499660110474,31.5289280700684,Arendal
2007-04-16,20,20,0,0,60,0,0,0,8.23109901428223,37.5992727798991,2.97554564476013,31.0777876281738,Arendal
2007-04-23,40,40,0,0,0,0,0,0,7.4234666633606,37.1475696610932,8.48786190032959,30.66526512146,Arendal
2007-04-30,40,40,0,0,0,0,0,0,9.56867496490478,38.4165983294496,2.97554564476013,29.1801006317139,Arendal
2007-05-07,0,0,0,20,0,0,0,0,9.61697998046875,39.3277772629615,6.42455863952637,29.656710357666,Arendal
2007-05-14,0,0,0,0,0,0,0,0,11.5215631484985,41.8880975270035,6.40929746627808,26.7393706512451,Arendal
2007-05-21,0,0,0,0,0,0,0,0,10.5941342544556,38.77416310452,2.97554564476013,29.6692704772949,Arendal
2007-05-29,0,0,0,0,120,0,0,0,11.91087474823,31.7735993106767,12.5717378616333,29.7022690582275,Arendal
2007-06-04,0,0,0,20,360,0,0,0,13.4350080490112,36.9500043250547,2.97554564476013,29.2783819580078,Arendal
2007-06-11,0,0,0,0,40,40000,0,0,17.8233367919922,49.7311188631719,2.97554564476013,28.6876606750488,Arendal
2007-06-18,0,0,0,0,0,20000,0,0,16.70592918396,48.6773990593334,2.97554564476013,26.859362487793,Arendal
2007-06-25,0,0,20,20,340,0,0,0,18.2883386230469,51.6417588337813,2.97554564476013,24.5626132965088,Arendal
2007-07-02,0,0,0,100,120,80000,0,0,16.9904742431641,37.8879959134772,6.26279077529907,25.9643717193603,Arendal
2007-07-09,0,0,160,800,1100,40000,0,0,17.1844108581543,34.7189615929481,6.40929746627808,26.8682613372803,Arendal
2007-07-16,0,0,40,20,60,80000,0,0,17.2458921051025,41.2518540750636,2.97554564476013,28.6066019439697,Arendal
2007-07-23,0,0,240,320,40,0,80,0,17.1891979217529,41.3864573299295,2.97554564476013,30.3977771759033,Arendal
2007-07-31,0,0,20,0,20,0,0,0,16.9862462615967,40.4320874166961,4.78856670379639,29.6443311309814,Arendal
2007-08-06,0,0,40,0,0,0,0,0,17.4440899658203,42.3587644595911,4.7733055305481,30.0963152313232,Arendal
2007-08-13,0,0,0,0,0,0,0,0,18.4880466461182,38.3978775279357,3.00606789588928,30.3746477508545,Arendal
2007-08-20,0,0,0,0,0,0,0,0,17.0940729522705,34.7151462441624,12.602260017395,30.4422383117676,Arendal
2007-08-27,0,0,0,0,0,0,0,0,17.0880693054199,39.8842097461814,10.1787939071655,30.5560497283936,Arendal
2007-09-03,0,0,20,0,0,10000,0,0,15.7682183074951,33.1052183349534,14.4213857650757,30.8809632873535,Arendal
2007-09-10,0,0,0,0,0,80000,0,0,15.3619948959351,30.5098021549754,12.5717378616333,30.8183833312988,Arendal
2007-09-17,0,0,0,0,0,20000,0,0,14.446707649231,25.7762243440836,16.7838070297241,31.7349501800537,Arendal
2007-09-24,0,0,0,0,0,0,0,0,13.7151860427856,19.4673408258079,17.9314428329468,30.4442443084717,Arendal
2007-10-01,0,0,0,0,0,0,0,0,12.8972203063965,17.2139144982442,44.601775970459,31.0041690063477,Arendal
2007-10-08,0,0,0,0,0,0,0,0,12.5816770935059,18.0226800488954,37.4351547241211,30.9547519683838,Arendal
2007-10-15,0,0,0,0,0,20000,0,0,12.2026266479492,13.9885556249335,34.4317665100098,31.5305341339111,Arendal
2007-10-22,0,0,0,40,20,0,0,0,11.3815692520142,13.3365505402631,20.9653536987305,30.8027233123779,Arendal
2007-10-29,0,0,0,0,0,0,0,0,11.0195700454712,12.2573550145038,32.7591479492188,30.8095957946777,Arendal
2007-11-05,0,0,0,0,0,130000,0,0,10.2585887527466,11.7936139991347,25.1652140045166,29.5582664489746,Arendal
2008-02-25,0,0,0,0,0,0,0,0,6.29393997192383,8.76833642355286,22.2839143371582,33.8752305603027,Arendal
2008-03-02,0,20,0,0,0,0,0,0,5.42840734481812,11.6372698923149,19.2286376953125,32.7259684753418,Arendal
2008-03-10,0,0,0,0,0,0,0,0,5.60646574020386,11.8602141153694,21.6246343994141,32.9889376831055,Arendal
2008-03-25,0,0,0,0,60,0,0,0,5.43480268478394,20.1045299544193,26.5570283508301,33.7372331237793,Arendal
2008-03-31,0,0,0,0,20,320000,0,0,5.85015810012817,19.3157640494923,28.1167147827148,33.3545994567871,Arendal
2008-04-07,20,40,0,20,80,80000,100,0,6.24378488540649,20.1540274808903,12.2390456771851,31.5120878601074,Arendal
2008-04-14,0,40,0,40,200,0,60,0,6.35054080963135,23.8324626979261,7.88046962738037,30.3469236755371,Arendal
2008-04-21,0,0,0,280,420,0,80,0,7.7352908706665,41.293274832244,2.97554564476013,30.5629250335693,Arendal
2008-04-28,0,0,0,80,120,0,40,0,8.82525779724121,29.5195103187372,6.40929746627808,30.3049871826172,Arendal
2008-05-05,0,0,0,20,120,0,40,0,11.2248352432251,37.2022986223202,2.97554564476013,27.4632162475586,Arendal
2008-05-12,0,0,0,320,20,0,100,0,12.9026840209961,45.3259119090467,2.97554564476013,27.7217225646973,Arendal
2008-05-19,0,0,0,20,0,0,180000,0,12.5653495407105,50.0002508069029,2.97554564476013,27.3102526855469,Arendal
2008-05-26,0,0,0,0,0,0,0,0,13.9316572952271,53.3735767402271,2.97554564476013,27.2564002227783,Arendal
2008-06-02,0,0,0,0,20,0,20,0,17.0388317108154,57.1330429964727,2.97554564476013,27.7590963745117,Arendal
2008-06-09,0,0,0,0,100,100000,20,0,18.0113981628418,59.0724415731902,4.50776208877563,27.3305025482178,Arendal
2008-06-16,0,0,0,0,40,0,0,0,15.5054753494263,53.2065828531095,2.97554564476013,26.1658686065674,Arendal
2008-06-23,0,0,20,200,140,0,0,0,15.9306828689575,49.5547208266683,6.40929746627808,26.5527588653564,Arendal
2008-06-30,0,0,0,120,0,10000,0,0,15.4530665588379,52.2764790789916,6.06134397506714,28.8254290771484,Arendal
2008-07-07,80,0,0,60,0,0,0,0,18.3361832427979,48.8864360563826,2.97554564476013,29.354461517334,Arendal
2008-07-14,0,0,60,0,60,0,0,0,17.6432745361328,46.3136850111555,6.40929746627808,28.7443939971924,Arendal
2008-07-21,0,0,0,160,40,0,0,0,17.6498993682861,46.6541862487793,2.97554564476013,29.5750680541992,Arendal
2008-07-28,0,0,0,0,0,190000,0,0,22.1241412353516,48.1400298883419,2.97554564476013,29.982546005249,Arendal
2008-08-04,0,0,0,0,0,0,0,0,19.0402308654785,48.5748200629017,6.40929746627808,30.5669207000732,Arendal
2008-08-18,0,0,0,40,0,0,0,0,18.4609418487549,36.8522240029703,2.97554564476013,30.1134725189209,Arendal
2008-08-25,0,0,0,80,0,0,0,0,18.5425049591064,34.9070328391425,6.43981971740723,29.468060836792,Arendal
2008-09-01,0,0,0,80,0,0,0,0,18.0617166900635,33.1434246195425,10.5450609207153,30.0268649291992,Arendal
2008-09-08,0,0,0,0,20,0,0,0,16.6704465484619,23.413831904383,25.4216008758545,30.9560840606689,Arendal
2008-09-15,0,0,0,160,20,0,0,0,16.009037322998,15.9218134868263,37.2245509338379,31.0555225372314,Arendal
