Date,par,sst,mld,sss
2006-01-01,,5.51608771246833,73.2835278320313,32.6368780517578
2006-01-02,,5.39541254816829,66.9715266418457,32.6407229614258
2006-01-03,,5.1468971871041,65.3477433776856,32.6742584228516
2006-01-04,,4.86784568992821,71.2812666320801,32.5006413269043
2006-01-05,,4.81865300358953,65.7994715881348,32.5632093811035
2006-01-06,,4.70514039735536,65.317221069336,32.6522303771973
2006-01-07,,4.69541353792758,48.1362503051758,32.7451551818848
2006-01-08,,4.86865523054793,45.8287712097168,32.8480931091309
2006-01-09,,4.92554576976879,42.7734939575195,32.9609275817871
2006-01-10,,6.72216838114971,60.6961528015137,33.0810916137695
2006-01-11,,6.81378957387563,58.7824089050293,33.1070249938965
2006-01-12,,6.82676119417758,48.862681427002,33.0738996887207
2006-01-13,,6.80892531936233,42.8192778015137,33.0019827270508
2006-01-14,,6.59676175504117,29.517685546875,32.8681004333496
2006-01-15,,6.55838631294869,34.2638932800293,32.6507594299316
2006-01-16,,6.34676134264147,44.6353517150879,32.3677420043945
2006-01-17,,6.18000587257179,56.1788619995117,32.1346913146973
2006-01-18,,6.04662920977618,39.8189413452148,32.0833625793457
2006-01-19,,5.85811017010663,56.9388662719727,32.0828169250488
2006-01-20,,5.59338255186339,59.4630557250977,32.1175546264648
2006-01-21,,5.41338575208509,53.1785264587402,32.238498840332
2006-01-22,,5.18946425979202,48.5147271728516,32.2817700195313
2006-01-23,,4.92824904983108,41.4244117736816,32.2242123413086
2006-01-24,,3.0951401994035,28.4921383666992,32.1511451721191
2006-01-25,,2.98135747136296,32.9209146118164,32.1234175109863
2006-01-26,,2.95500636745144,39.9044036865234,32.1590791320801
2006-01-27,,1.33649217760241,32.6370585632324,32.1568395996094
2006-01-28,,0.834061493744721,26.1388734436035,32.163470916748
2006-01-29,,0.872977591849662,23.2880966949463,32.1802520751953
2006-01-30,,0.927170212204392,22.4426302337646,32.1986840820312
2006-01-31,,0.370679288297086,21.8413415527344,32.2203826904297
2006-02-01,,0.321763322160051,19.0210874938965,31.9908648681641
2006-02-02,,0.35014322359268,13.4843528747559,32.033597869873
2006-02-03,,0.567977905273438,13.7285305023193,32.092908782959
2006-02-04,,0.679467690957559,23.3033575439453,32.1812605285645
2006-02-05,,1.26987106735642,19.8299262237549,32.2222291564941
2006-02-06,,1.04230148727829,20.6937060546875,32.2295219421387
2006-02-07,,0.950007258234797,23.0042400360107,32.1794288635254
2006-02-08,,1.07933168153505,14.9341593933105,31.6206803131104
2006-02-09,,2.85027828732052,15.0379348754883,31.6535781097412
2006-02-10,,2.91716951937289,21.0233458709717,31.7311767578125
2006-02-11,,2.86054951435811,16.0329602050781,31.6615779113769
2006-02-12,,2.59405806257918,9.82778820037842,31.5956343841553
2006-02-13,,2.57014094172297,8.51838424682617,31.5700929260254
2006-02-14,,2.50446587639886,8.48786190032959,31.5682764434814
2006-02-15,,2.69676332216005,12.0711731338501,31.6747061157227
2006-02-16,,2.74811368375211,14.6869289779663,31.7187152862549
2006-02-17,,2.73433169803104,19.9977983093262,31.6679608154297
2006-02-18,,2.63284301757812,26.7401615905762,31.6280219268799
2006-02-19,,2.92540926546664,28.02514793396,31.662133026123
2006-02-20,,3.08689839131123,29.3162384033203,31.659252243042
2006-02-21,,3.12487133129223,30.7172087097168,31.6638259887695
2006-02-22,,3.46095275878906,22.2839143371582,31.7994145965576
2006-02-23,,3.66662803856102,26.0808809661865,31.8786308288574
2006-02-24,,3.09716920594911,26.3738945770264,32.0530633544922
2006-02-25,8.89769557915112,2.91473594871727,18.2732925415039,32.1221183776855
2006-02-26,,2.73270890519426,17.7574664306641,32.2305459594727
2006-02-27,,2.38798028069573,13.5728676223755,32.2910466003418
2006-02-28,,1.48811422811972,14.3908634185791,32.4154217529297
2006-03-01,,1.6020322232633,20.8859960174561,32.38365234375
2006-03-02,,1.55122086808488,23.3430362701416,32.378596496582
2006-03-03,,1.51162678486592,27.1247424316406,32.3820404052734
2006-03-04,,1.97203311404666,23.4559690856934,32.3054985046387
2006-03-05,10.3167019268074,2.07379067910684,18.2061432647705,32.2228330993652
2006-03-06,,0.393384366422086,19.546070022583,32.1963374328613
2006-03-07,,0.073248373495566,16.6098305511475,32.1409155273437
2006-03-08,,0.018087726749786,11.57366065979,32.0414752197266
2006-03-09,,0.216764295423353,13.6308594512939,32.0721719360352
2006-03-10,,0.768384778821791,25.9191134643555,32.1710905456543
2006-03-11,,1.43338177655194,27.3628157043457,32.2538064575195
2006-03-12,,1.8374394597234,22.9981346130371,32.2713581848145
2006-03-13,14.0603113080015,1.79487032503695,15.5079775238037,32.2839604187012
2006-03-14,,1.84014150258657,13.5118228912354,32.2891738891602
2006-03-15,,2.77581663389464,21.9512223815918,32.4029829406738
2006-03-16,,2.91581684834248,22.0733113861084,32.1697354125977
2006-03-17,,2.82608815786001,20.7455934143066,31.806778717041
2006-03-18,,2.37284356194573,12.086434211731,31.733883972168
2006-03-19,,1.83703283361487,11.4759895706177,31.6354306793213
2006-03-20,,1.76284501359269,9.28754470825195,31.5193707275391
2006-03-21,21.9896552397473,1.64324868691934,6.42455863952637,31.4603337097168
2006-03-22,,1.43568214210304,5.24945253372192,31.559838180542
2006-03-23,,1.18203364191829,6.40929746627808,31.7244347381592
2006-03-24,,1.19378703349345,6.43981971740723,31.5205561828613
2006-03-25,,1.19973631162901,10.9113279342651,31.1277593231201
2006-03-26,,1.45689845729519,17.2233276367188,31.0206397247314
2006-03-27,,1.72581646893476,21.7741926574707,30.9017095184326
