Date,par,sst,mld,sss
2008-03-18,,6.10222880045573,49.2793489113832,34.0124235886794
2008-03-19,,6.12167301884404,46.3836496793307,33.9620917882675
2008-03-20,15.7256095568339,5.99926701298467,50.9815509502704,33.9916642017854
2008-03-21,,5.72074720594618,52.14570021018,34.0169891944298
2008-03-22,,5.73334192346644,54.1629071357923,34.0067675663875
2008-03-23,,5.6474117702908,51.7896077082707,33.9810081873185
2008-03-24,,5.26926676432292,51.4706892355894,33.9832407633464
2008-03-25,,5.19426586009838,51.9109141031901,33.9684927524664
2008-03-26,,5.14556150083189,51.9109141031901,33.9423409486428
2008-03-27,,5.13870860912182,53.2472400176219,33.9508083050068
2008-03-28,17.8536220550537,5.19556172688802,55.4894506992438,33.9943544436724
2008-03-29,,5.20500635217737,66.2778885670197,34.0348345438639
2008-03-30,,5.34833780924479,72.2845093164689,34.0461065830329
2008-03-31,,5.3340827094184,76.6241451165615,34.0408211732522
2008-04-01,,5.5868569833261,78.3361299954928,34.0276352319962
2008-04-02,,5.59945057056568,132.329189789601,34.0010308485765
2008-04-03,,5.62000641999421,54.1668206728422,33.9672010372846
2008-04-04,,5.54704397696036,133.3544239142,33.9694282336113
2008-04-05,16.7275330225627,5.42444808394821,120.384428171011,33.974243750939
2008-04-06,,5.3383376510055,135.692504687187,33.9653878823305
2008-04-07,,5.40296936035156,28.8861877001249,33.9223518371582
2008-04-08,,5.43426400643808,56.7025154309395,33.9215577932505
2008-04-09,,5.45204106083623,86.9234458727714,33.8851744822967
2008-04-10,,5.68019443088108,50.9874204244369,33.876152527638
2008-04-11,,5.72630027488426,22.1106424087133,33.8793701758752
2008-04-12,,5.80982010452836,13.6328944426317,33.8443763928536
2008-04-13,23.4259919802348,5.85148733633536,13.1691911648481,33.8195515168019
2008-04-14,,5.83129995840567,8.79629311194787,33.7893730554825
2008-04-15,,5.83352661132813,11.8700393040975,33.8325231503218
2008-04-16,,5.8988941333912,57.9488396766858,33.8455399733323
2008-04-17,,6.30019406919126,2.97554564476013,33.8149493290828
2008-04-18,,6.39278496636285,2.97554564476013,33.7798296610514
2008-04-19,,6.53333932382089,2.97554564476013,33.7246232644106
2008-04-20,,6.87241730866609,2.97554564476013,33.664486518273
2008-04-21,39.4602471669515,7.12796811704282,2.97554564476013,33.6155383770282
2008-04-22,,7.78056278935185,2.97554564476013,33.5604421175443
2008-04-23,,8.25685628255208,2.97554564476013,33.4657616248498
2008-04-24,,7.70889508282697,6.00429089864095,33.4515691903921
2008-04-25,,7.73463270399306,9.62587189063048,33.4744036747859
2008-04-26,,7.71334047670718,11.3104649323684,33.4975818731846
2008-04-27,,7.63611744068287,14.1572509667812,33.4840848873823
2008-04-28,,7.97963742856626,15.1296580632528,33.4198103684645
2008-04-29,28.0799478212992,7.94463546187789,8.90586016728328,33.3636248661922
2008-04-30,,7.94704408998843,6.40929746627808,33.262759966728
